text,span1,label
This might have had the effect of drawing families into the specialist system at an earlier stage .,"[8, 9]",0
Baker ( 1984 ) suggests that four kinds of shortcoming emerge when checklists are validated in the real situation .,"[17, 18]",0
"The appearance of a famous face in the show rooms always caused a stir amongst the girls , who all longed to hook a wealthy husband — and if he had a title , like the Aly Khan , or was a film star like Omar Shariff , then so much the better !","[13, 14]",1
"They also exert a fascination very much of their own as they slither round circuses and brush through old city gates , flashing arcs of lightning as they switch tracks on winter nights .","[2, 3]",1
"The work of Peter Townsend and others showed that , far from presiding over the elimination of poverty , the Wilson Government actually failed to prevent some of its features from worsening ( Townsend and Bosanquet , 1972 ) .","[29, 30]",1
THE nation 's ambulance service was in manifest chaos yesterday .,"[1, 2]",0
"The usage of ‘ race ’ during the September-October 1985 period took on new meanings , which had little if anything to do with the impact of racism as such , since the emphasis was on the cultural characteristics of the minority communities themselves .","[25, 26]",1
"He stared at the serenely impassioned garden made out of a whirl of yellow brushstrokes , a viridian impasto , a dense mass of furiously feathered lines of blue-green , isolated black pot hooks , the painfully clear orange-red spattering .","[33, 34]",0
back ?,"[0, 1]",1
"‘ If I die abroad in exile , let my body rest in a temporary grave until my mortal remains be transferred to our dear homeland , ’ said the Montenegrin President , Branko Kostic , reading the royal will and testament to the crowds in Cetinje Square , who carried flags and portraits of Nicholas and his queen , Milena .","[58, 59]",0
"But reading between the lines , I think Clare needs money . ’","[8, 9]",0
"She had brought a case for legal compensation for her dead children 's lives and for her own suffering and one of her few recorded public utterances was to call the first offer of compensation "" pitiful "" .","[32, 33]",0
"During the 1985 riots and their immediate aftermath , the imagery of ‘ race ’ was used by sections of the press without the sense of ambiguity which could still be found in 1980–1 .","[24, 25]",1
Erm I 'd like to see whoever wins this .,"[5, 6]",1
"‘ When you want to write , you 'll write , ’ Buzz would tell her then .","[14, 15]",0
"We say we are thirsty when we mean that we fancy a glass of wine , a pint of beer , a gin and tonic or a shot of whisky — the pleasure of naming our poison — at the end of a busy day or tiresome week .","[36, 37]",1
A first time garden is usually small and certainly the typical one I am imagining for this series is no more than 40ft x 20ft and surrounded on all sides by other houses .,"[26, 27]",0
"The back row were swifter to the loose ball , had a clearer idea of what to do with it when they got there , and their impressive half-backs were given every opportunity — which they eagerly took — to control the game .","[30, 31]",1
"Atmospheric circulation ( and , in turn , precipitation and temperature ) is also greatly affected by the balance of thermal energy at the land surface , itself affected by the vegetation and terrain characteristics .","[20, 21]",0
"Marcia has put more detail onto the Erikson model and suggests that in going from the initial ego-diffusion condition to that of having achieved ego-identity , two processes are involved : crisis and commitment .","[17, 18]",1
"In the past we have had cup walks , not runs . ’","[10, 11]",1
I do n't like wholes,"[4, 5]",0
They live for like one holiday which is the summer holiday to stay away you know ?,"[1, 2]",0
It is then a matter of preference whether you say that they can not choose the goals or that they can not form strategies to achieve them or both .,"[9, 10]",1
"Unwilling to follow Merleau-Ponty by dropping the second in favour of the first , Sartre argued that it was possible for man to be both at once through the movement of praxis , that is intentional actions which produce material effects .","[5, 6]",1
"After they reached two thousand feet , the instructor showed her how to fly level ; he then encouraged her to experiment with the stick , manoeuvring the plane m every direction .","[14, 15]",0
If punishment is assimilated into the probation glossary it will inevitably influence the sort of practice the Service undertakes .,"[15, 16]",0
"And Vera phoned this morning , Joe phoned this morning all I did n't want them to go out , anyway I 've made arrangements to go round to see Vera on Friday afternoon and they they went out to where was it ?","[29, 30]",0
‘ Can you raise money to help me fend them off ?,"[8, 9]",0
"All were spontaneous outbursts : none , contrary to some claims , were politically inspired or orchestrated ( except in Northern Ireland where urban problems existed on a grander , more devastating scale , and where there was a unique heritage ) .","[7, 8]",0
"And now my family have offered forty-nine cattle to his family , but the government will not take them to give to his family in England . ’","[17, 18]",0
But inside she was bubbling with excitement .,"[4, 5]",1
"An important finding was that many relied on their own transport and went to stay with friends and relatives some distance away , rather than relying on the 19 official evacuation reception centres .","[16, 17]",0
