text,span1,label
"It is easy to present the relevant equations ; we have all of eqns ( 1.1 ) -(1.7) but have to substitute a/at = O , yielding formula .","[26, 27]",1
"Government fixes the format in which BR has to work ; and if , as the Hidden report attests , many of its problems today reflect lack of past planning , lack of farsighted investment , living from hand to mouth , then that is not just BR 's doing .","[25, 26]",1
How much ‘ independence ’ do you suppose a person has who exists on the no-fixed-abode Giro of £34.90 a week ?,"[7, 8]",0
"It depends on , on the houses .","[1, 2]",0
"If Dedham Hall is fully booked — and it may well be — try the best bed-and-breakfast we have ever found , just a few miles away at the Old Vicarage , Higham , near Colchester .","[20, 21]",0
"The passages it cancelled had , in any case , as in certain programmes , not been lost but stored on some limbo disc from whence they must now be retrieved .","[17, 18]",1
She was n't touched .,"[3, 4]",0
"Dalgliesh doubted whether that half-imagined recoil had anything to do with him personally , nor did he find her silence disconcerting .","[17, 18]",1
Dialectical reason encounters such products as undecidables :,"[2, 3]",1
Reactions to the riots have concentrated on a number of key variables that are said to characterize the localities in which the riots have occurred .,"[16, 17]",0
‘ You 'd think someone rich enough to own a rig like this could afford a pair of fenders . ’,"[14, 15]",0
"And sometimes non-standard discount is given , a pig to deal with on the old system , but if you could add one extra input box on that screen there …","[5, 6]",1
"The whole point of a visit to Hong Kong now , five months after Tiananmen Square , should be to declare with royal authority that Britain shares the concerns of the Hong Kong people and is determined to do something about them .","[36, 37]",1
"In the scenario he outlines , an area affected by radioactive releases is determined , the population within that area is allocated to reception areas ( with capacity constraints ) , evacuation routes are identified and traffic restrictions implemented .","[34, 35]",0
"As the Rallye droned towards the lighthouse on the tip of Cap Camerat , Miranda felt as if she were breathing the air of the gods .","[20, 21]",1
"In Meadowell Primary , which has 232 children , every one was receiving a clothing grant .","[12, 13]",0
This session allows for an in depth examination of the drinking diaries over the last five weeks — identifying the risky circumstances or situations … .,"[2, 3]",1
"In the meantime , we have the capacity to bring coherence and organisation to a whole range of activities , further consolidating the institutional linkage between the people in the occupied state and the PLO leadership .","[9, 10]",1
"Environmental organisations , however , put the emphasis elsewhere .","[5, 6]",1
Evacuation plans are required to cover an area within a distance of 2.4 km ; these detail the roles to be played by the emergency services .,"[21, 22]",0
At the start of the session the tutor 's notes make clear that directing extends beyond enforcing the conditions of attendance :,"[14, 15]",1
blush then .,"[0, 1]",0
The importance of it did n't surface until Germany was reunified .,"[6, 7]",1
you 've got margarine what else would you like ?,"[8, 9]",0
"The reason for this is not difficult to find : the harm caused by many other crimes is remediable to a degree , whereas the harm caused by homicide is absolutely irremediable .","[8, 9]",1
So we are left with eqn ( 3.11 ) .,"[3, 4]",1
"In practice , legislation generally forbids such data being held thus and distributed in anything other than area aggregate form ; the cross-tabulations commonly employed ( e.g. to give tables of population numbers broken down by age and sex ) often result in a great multiplication of the data volumes .","[33, 34]",0
"It is also urging the conference to oppose a motion , supported by the National Union of Mineworkers , to commit a Labour government to abolishing all nuclear power within 15 years .","[25, 26]",0
Looking at those lists provides interesting reading and bears out the used-car trade 's view that having a lead-only car could prove to be a liability .,"[0, 1]",0
"The unclothed body is not a ‘ self but a socialised body , a body that is opened by instruments , technologized , wounded , its organs displayed to the outside world .","[27, 28]",1
"It should suit Tony Dorigo , the unblooded England left-back , though oddly his rival , Nigel Winterburn , did more rampaging on Saturday ; neither , in truth , made the heart pound .","[2, 3]",1
Going into fours .,"[0, 1]",1
"They have an ‘ immature ’ deliberative faculty ( Aristotle ) , are not ‘ endued with Reason ’ ( Hobbes ) , until roughly the age of 10 ( Kant ) and are ‘ incapable of being acted upon by rational consideration of distant motives ’ ( Mill ) .","[38, 39]",1
"Go on , you tell Daddy what you did in front of erm","[4, 5]",0
It would be a criticism if I was doing it to impoverish myself ’ .,"[11, 12]",0
"This not only provides flexibility in the use of man-power , it also improves communication .","[13, 14]",0
"Ruth fetched and carried and stirred and whipped , praying every moment that Joss Barnet would return before they left Millfield next day .","[9, 10]",0
"If you are thinking of letting your property , the following points will help to safeguard your interests :","[13, 14]",0
This chapter will examine a range of theories which attempt to explain such behaviour .,"[11, 12]",0
"Sister Margaret Traxler , of the National Coalition of American Nuns , said that she had told Dr Runcie : ‘ The Roman Catholic Church says this is a deterrent to unity ; but we say , how can this be a deterrent to unity when discrimination against women is evil ? ’","[12, 13]",0
"The club owners , the casinos , and the multinational bookmakers knew which professional gamblers successfully played games that contained an element of skill — such as backgammon and poker- and they preferred to have nothing to do with them ; ideally , the house welcomed inexperienced , rich idiots .","[11, 12]",1
"Driving away , I noticed that the vast chimney was still not functioning , but when I called at a neighbouring house a woman showed me videos she had taken of smoke coming from the plant , settling in her garden .","[17, 18]",1
The trouble with all the views which we have looked at is that they tie the notion of autonomy firmly and solely to that of knowledge interpreted in either a broad or narrow sense .,"[26, 27]",1
The book — which opens a projected sequence of novels that will cover the period from 1968 to the present day — aims to explore what the blurb describes as ‘ the painful transition from youth to adulthood ’ .,"[4, 5]",1
An alternative approach is to begin by hypothesizing an environmental determinant of ill health and to collect data to test an explicit hypothesis .,"[16, 17]",0
"Most of all , they fear the Israelis . ’","[5, 6]",0
I seem to recall that Elinor helped you to buy your first good bike .,"[6, 7]",0
"Indeed , many systems of criminal law impose a mandatory sentence for murder ( or whatever the highest form of homicide is called in that system ) .","[7, 8]",1
Buzz returned reading a postcard .,"[1, 2]",0
"In no way , however , does this invalidate the need for microscale studies — for instance , while global data sets may indicate the extent of algal blooms and may suggest causes of them , only detailed study of the algae themselves can provide understanding of why the bloom is occurring .","[31, 32]",0
"On this page , Nick Roe visits a plant which , despite strenuous public relations efforts , has failed to convince its neighbours that it has come clean .","[18, 19]",1
The thousands of tons of steel made real communication impossible .,"[6, 7]",1
